x;y;z;time
-1,91; 5,26; 7,75; 2891656989
-1,62; 5,20; 8,42; 2891657008
-1,20; 5,30; 9,67; 2891657028
-1,04; 5,53; 9,52; 2891657053
-1,09; 5,63; 8,66; 2891657068
-1,05; 5,69; 7,97; 2891657087
-0,69; 5,82; 7,91; 2891657104
-0,35; 6,03; 8,03; 2891657124
-0,30; 6,09; 7,94; 2891657143
-0,26; 6,08; 7,90; 2891657172
-0,19; 6,09; 8,12; 2891657183
-0,21; 6,18; 8,08; 2891657202
-0,33; 6,23; 7,88; 2891657222
-0,40; 6,17; 7,65; 2891657241
-0,59; 6,08; 7,53; 2891657269
-0,80; 6,03; 7,29; 2891657283
-0,91; 6,01; 7,47; 2891657300
-1,03; 5,90; 7,67; 2891657319
-1,18; 5,73; 7,59; 2891657337
-1,12; 5,68; 7,90; 2891657356
-1,20; 5,66; 7,84; 2891657376
-1,17; 5,71; 7,79; 2891657401
-1,04; 5,80; 7,72; 2891657420
-0,97; 5,89; 7,57; 2891657435
-0,85; 5,98; 7,53; 2891657455
-0,76; 6,11; 7,59; 2891657472
-0,63; 6,15; 7,81; 2891657493
-0,55; 6,21; 7,86; 2891657520
-0,45; 6,20; 7,77; 2891657536
-0,42; 6,05; 7,83; 2891657552
-0,48; 5,91; 7,84; 2891657571
-0,53; 5,81; 7,83; 2891657590
-0,51; 5,96; 7,70; 2891657610
-0,15; 6,27; 7,47; 2891657636
0,13; 6,44; 7,32; 2891657651
0,20; 6,38; 7,67; 2891657669
-0,03; 6,15; 8,04; 2891657686
-0,60; 5,77; 8,26; 2891657707
-0,93; 5,55; 8,14; 2891657726
-0,88; 5,75; 7,79; 2891657754
-0,70; 6,14; 7,37; 2891657767
-0,70; 6,31; 7,06; 2891657784
-0,77; 6,35; 7,40; 2891657803
-0,83; 6,35; 7,57; 2891657821
-0,82; 6,33; 7,65; 2891657842
-0,61; 6,34; 7,67; 2891657871
-0,56; 6,34; 7,59; 2891657887
-0,64; 6,23; 7,56; 2891657901
-0,79; 6,10; 7,59; 2891657921
-0,98; 5,93; 7,53; 2891657938
-0,96; 5,88; 7,59; 2891657959
-0,97; 5,84; 7,52; 2891657985
-0,91; 5,81; 7,55; 2891658001
-0,71; 5,91; 7,52; 2891658017
-0,50; 6,02; 7,72; 2891658036
-0,36; 6,04; 7,85; 2891658056
-0,28; 6,17; 7,87; 2891658075
-0,06; 6,42; 7,76; 2891658094
0,13; 6,56; 7,71; 2891658115
0,15; 6,52; 7,72; 2891658136
0,25; 6,54; 7,81; 2891658153
0,40; 6,61; 7,92; 2891658172
0,32; 6,54; 8,07; 2891658193
0,09; 6,43; 8,12; 2891658219
-0,16; 6,34; 8,15; 2891658234
-0,32; 6,22; 8,32; 2891658252
-0,45; 6,16; 8,46; 2891658268
-0,59; 6,13; 8,34; 2891658287
-0,76; 6,25; 8,13; 2891658307
-0,68; 6,39; 7,53; 2891658327
-0,36; 6,51; 8,15; 2891658353
-0,10; 6,54; 9,08; 2891658368
-0,10; 6,04; 10,03; 2891658384
-0,70; 5,38; 10,15; 2891658405
-1,77; 4,93; 9,04; 2891658425
-1,87; 4,97; 8,42; 2891658444
-0,81; 5,45; 9,24; 2891658463
0,04; 5,81; 9,74; 2891658486
0,53; 6,09; 9,43; 2891658502
0,73; 6,19; 7,95; 2891658522
0,34; 6,04; 7,03; 2891658542
-0,14; 5,65; 7,32; 2891658561
-0,37; 5,28; 8,16; 2891658580
-0,74; 4,91; 8,31; 2891658602
-1,23; 4,53; 7,87; 2891658619
-1,56; 4,33; 7,56; 2891658637
-1,52; 4,37; 7,78; 2891658657
-1,30; 4,46; 8,01; 2891658677
-1,07; 4,64; 7,99; 2891658695
-0,84; 4,92; 7,75; 2891658716
-0,67; 5,19; 7,40; 2891658736
-0,50; 5,54; 7,12; 2891658755
-0,51; 5,87; 6,73; 2891658774
-0,56; 5,94; 6,98; 2891658793
-0,47; 5,92; 7,21; 2891658812
-0,40; 6,09; 7,05; 2891658831
-0,29; 6,18; 6,98; 2891658852
-0,28; 6,12; 7,24; 2891658871
-0,44; 6,00; 7,80; 2891658891
-0,81; 5,80; 8,26; 2891658910
-1,19; 5,69; 8,60; 2891658927
-1,34; 5,79; 8,84; 2891658953
-1,37; 6,00; 8,77; 2891658969
-1,22; 6,20; 8,37; 2891658986
-0,89; 6,46; 8,20; 2891659007
-0,62; 6,72; 8,40; 2891659026
-0,60; 7,10; 8,40; 2891659045
-0,59; 7,25; 7,40; 2891659064
-0,64; 6,75; 7,06; 2891659088
-0,88; 6,21; 8,02; 2891659102
-0,48; 5,52; 9,38; 2891659123
-0,23; 5,43; 9,75; 2891659141
-0,32; 5,85; 8,94; 2891659162
-0,19; 5,88; 8,31; 2891659187
0,06; 5,79; 8,31; 2891659204
0,36; 5,59; 8,54; 2891659219
0,75; 5,11; 8,93; 2891659238
1,01; 4,85; 9,30; 2891659258
0,88; 4,88; 8,65; 2891659278
0,47; 4,82; 7,12; 2891659304
-0,06; 4,69; 6,34; 2891659319
-0,47; 4,79; 6,33; 2891659335
-0,57; 4,82; 6,72; 2891659355
-0,41; 4,86; 7,02; 2891659375
-0,17; 5,13; 6,92; 2891659393
0,16; 5,44; 7,15; 2891659413
0,14; 5,59; 7,98; 2891659437
-0,20; 5,66; 8,71; 2891659454
-0,51; 5,59; 8,94; 2891659471
-0,54; 5,59; 8,82; 2891659492
-0,38; 5,81; 8,59; 2891659511
-0,29; 6,04; 8,16; 2891659529
-0,35; 5,97; 7,82; 2891659550
-0,54; 5,77; 7,56; 2891659568
