x;y;z;time
-0,81; 5,60; 7,78; 2891656989
-0,82; 5,52; 7,88; 2891657008
-0,80; 5,56; 7,94; 2891657028
-0,87; 5,56; 7,70; 2891657053
-0,94; 5,63; 7,77; 2891657068
-0,87; 5,71; 8,19; 2891657087
-0,83; 5,83; 8,27; 2891657104
-0,82; 6,06; 7,88; 2891657124
-0,79; 6,13; 7,70; 2891657143
-0,82; 6,23; 7,70; 2891657172
-0,73; 6,24; 8,02; 2891657183
-0,77; 6,17; 7,99; 2891657202
-0,94; 6,05; 7,93; 2891657222
-1,03; 5,92; 7,99; 2891657241
-0,99; 5,88; 8,04; 2891657269
-0,91; 5,96; 7,97; 2891657283
-0,91; 6,08; 7,50; 2891657300
-0,91; 6,10; 7,14; 2891657319
-0,99; 6,05; 7,12; 2891657337
-1,00; 5,98; 7,66; 2891657356
-0,81; 5,98; 8,10; 2891657376
-0,80; 6,08; 7,96; 2891657401
-0,78; 6,12; 7,70; 2891657420
-0,58; 6,20; 7,70; 2891657435
-0,41; 6,24; 7,59; 2891657455
-0,30; 6,23; 7,83; 2891657472
-0,46; 6,16; 8,00; 2891657493
-0,68; 6,14; 7,83; 2891657520
-0,75; 6,19; 7,37; 2891657536
-0,76; 6,29; 7,15; 2891657552
-0,65; 6,39; 7,20; 2891657571
-0,45; 6,50; 7,60; 2891657590
-0,50; 6,48; 7,70; 2891657610
-0,54; 6,35; 7,86; 2891657636
-0,74; 6,24; 7,76; 2891657651
-0,87; 6,17; 7,65; 2891657669
-0,80; 6,11; 7,72; 2891657686
-0,71; 6,07; 7,60; 2891657707
-0,50; 6,18; 7,48; 2891657726
-0,32; 6,30; 7,31; 2891657754
-0,50; 6,25; 7,16; 2891657767
-0,58; 6,25; 7,32; 2891657784
-0,66; 6,24; 7,24; 2891657803
-0,79; 6,29; 6,98; 2891657821
-0,84; 6,42; 6,67; 2891657842
-0,71; 6,58; 6,73; 2891657871
-0,80; 6,64; 6,96; 2891657887
-0,99; 6,59; 7,30; 2891657901
-0,96; 6,70; 7,41; 2891657921
-0,78; 6,94; 7,41; 2891657938
-0,63; 7,13; 7,46; 2891657959
-0,58; 7,15; 7,72; 2891657985
-0,47; 7,10; 7,83; 2891658001
-0,49; 7,12; 7,71; 2891658017
-0,64; 7,09; 7,41; 2891658036
-0,94; 6,99; 7,35; 2891658056
-1,11; 6,93; 7,43; 2891658075
-1,07; 6,94; 7,49; 2891658094
-0,98; 6,95; 7,75; 2891658115
-1,04; 7,00; 8,00; 2891658136
-0,99; 7,11; 8,26; 2891658153
-0,78; 7,61; 7,49; 2891658172
-0,33; 7,66; 7,07; 2891658193
-0,83; 7,48; 7,85; 2891658219
-1,15; 6,82; 8,51; 2891658234
-0,97; 5,92; 9,86; 2891658252
-0,67; 5,74; 10,22; 2891658268
-0,55; 5,63; 9,36; 2891658287
-0,51; 5,50; 8,57; 2891658307
-0,63; 5,39; 8,74; 2891658327
-0,45; 5,53; 9,03; 2891658353
0,21; 5,89; 8,00; 2891658368
0,26; 5,95; 6,17; 2891658384
-0,35; 5,73; 5,46; 2891658405
-0,79; 5,40; 6,25; 2891658425
-0,97; 5,32; 7,23; 2891658444
-1,27; 5,44; 7,24; 2891658463
-1,32; 5,53; 7,07; 2891658486
-1,34; 5,48; 7,24; 2891658502
-1,45; 5,39; 7,51; 2891658522
-1,62; 5,32; 7,46; 2891658542
-1,51; 5,39; 7,58; 2891658561
-1,31; 5,57; 7,67; 2891658580
-1,17; 5,73; 7,40; 2891658602
-1,09; 5,83; 7,00; 2891658619
-0,83; 5,98; 6,81; 2891658637
-0,62; 6,18; 6,81; 2891658657
-0,68; 6,31; 6,89; 2891658677
-0,70; 6,44; 6,79; 2891658695
-0,61; 6,48; 6,64; 2891658716
-0,53; 6,58; 6,83; 2891658736
-0,59; 6,59; 7,29; 2891658755
-0,96; 6,43; 7,95; 2891658774
-1,33; 6,28; 8,10; 2891658793
-1,44; 6,38; 7,55; 2891658812
-1,24; 6,64; 7,16; 2891658831
-1,13; 6,71; 7,37; 2891658852
-1,21; 6,62; 7,90; 2891658871
-1,35; 6,51; 8,20; 2891658891
-1,42; 6,65; 8,36; 2891658910
-1,44; 7,17; 8,18; 2891658927
-1,01; 7,46; 6,40; 2891658953
-0,92; 6,93; 6,80; 2891658969
-0,95; 6,57; 9,15; 2891658986
-0,17; 5,69; 11,67; 2891659007
0,59; 5,46; 12,39; 2891659026
0,99; 6,26; 9,72; 2891659045
0,99; 6,61; 6,86; 2891659064
0,58; 6,40; 5,57; 2891659088
0,66; 5,89; 6,06; 2891659102
0,96; 5,44; 7,83; 2891659123
1,08; 5,08; 9,18; 2891659141
0,58; 4,72; 8,98; 2891659162
-0,13; 4,70; 7,73; 2891659187
-0,46; 4,82; 6,93; 2891659204
-0,61; 5,03; 6,91; 2891659219
-0,50; 5,41; 7,42; 2891659238
-0,28; 5,72; 7,99; 2891659258
-0,21; 5,90; 8,28; 2891659278
-0,03; 5,87; 8,29; 2891659304
0,03; 5,82; 8,11; 2891659319
0,10; 5,89; 7,71; 2891659335
0,07; 5,95; 7,25; 2891659355
-0,18; 5,95; 6,87; 2891659375
-0,52; 5,83; 6,66; 2891659393
-0,76; 5,73; 6,73; 2891659413
-0,69; 5,80; 7,04; 2891659437
-0,61; 6,02; 7,11; 2891659454
-0,42; 6,26; 7,11; 2891659471
-0,23; 6,60; 7,20; 2891659492
-0,10; 6,91; 7,31; 2891659511
-0,16; 7,07; 7,58; 2891659529
-0,39; 7,02; 8,09; 2891659550
-0,72; 6,84; 8,64; 2891659568
-0,81; 6,79; 8,79; 2891659588
-0,99; 6,80; 8,55; 2891659607
-1,44; 6,74; 8,77; 2891659628
-1,83; 6,89; 7,92; 2891659647
-1,33; 6,59; 7,23; 2891659667
-1,29; 6,62; 8,73; 2891659688
-1,03; 6,22; 10,55; 2891659704
-0,79; 5,26; 11,77; 2891659726
-0,93; 4,81; 10,76; 2891659744
-1,06; 5,11; 8,36; 2891659762
-0,52; 5,58; 6,71; 2891659783
-0,09; 6,05; 6,02; 2891659803
0,12; 6,24; 7,07; 2891659821
-0,05; 5,82; 8,70; 2891659840
-0,55; 5,20; 9,12; 2891659861
-0,87; 4,76; 8,11; 2891659879
-1,18; 4,80; 7,02; 2891659899
-1,24; 5,14; 6,94; 2891659921
-1,19; 5,37; 7,39; 2891659937
-1,13; 5,51; 7,50; 2891659957
-1,01; 5,78; 7,14; 2891659977
-0,82; 5,88; 6,88; 2891659995
-0,66; 5,81; 7,04; 2891660022
-0,78; 5,66; 7,34; 2891660039
-0,76; 5,65; 7,59; 2891660055
-0,64; 5,83; 7,49; 2891660073
-0,56; 5,99; 7,21; 2891660093
-0,62; 6,17; 7,05; 2891660112
-0,56; 6,46; 7,05; 2891660131
-0,48; 6,66; 7,07; 2891660152
-0,43; 6,73; 7,20; 2891660172
-0,56; 6,71; 7,37; 2891660188
-0,63; 6,67; 7,60; 2891660207
-0,71; 6,64; 7,47; 2891660229
-0,79; 6,55; 7,24; 2891660248
-0,93; 6,43; 7,29; 2891660272
-1,07; 6,38; 7,70; 2891660289
-1,16; 6,61; 8,01; 2891660305
-1,37; 7,17; 7,53; 2891660325
-0,98; 7,29; 6,09; 2891660345
-1,03; 7,00; 7,33; 2891660364
-0,63; 6,36; 9,77; 2891660383
-0,25; 5,35; 12,26; 2891660403
-0,08; 5,42; 11,89; 2891660422
0,12; 5,97; 8,94; 2891660442
0,12; 5,94; 7,24; 2891660462
-0,06; 5,88; 6,16; 2891660481
-0,11; 5,28; 5,91; 2891660499
-0,37; 4,67; 6,92; 2891660522
-0,68; 4,57; 7,74; 2891660539
-0,75; 4,44; 8,32; 2891660559
-0,96; 4,39; 8,26; 2891660577
-1,27; 4,83; 7,54; 2891660597
-1,12; 5,20; 7,55; 2891660623
-0,73; 5,45; 8,58; 2891660638
-0,36; 5,81; 9,32; 2891660656
0,17; 6,12; 9,52; 2891660674
0,57; 6,35; 8,93; 2891660694
0,52; 6,41; 7,98; 2891660714
0,18; 6,23; 7,06; 2891660732
-0,21; 6,01; 6,54; 2891660753
-0,54; 5,87; 6,44; 2891660773
-0,92; 5,71; 6,53; 2891660792
-1,26; 5,50; 6,85; 2891660810
-1,42; 5,41; 7,16; 2891660830
-1,19; 5,60; 7,56; 2891660847
-0,80; 5,94; 7,92; 2891660869
-0,72; 6,19; 8,32; 2891660889
-0,60; 6,45; 8,41; 2891660907
-0,63; 6,71; 8,33; 2891660927
-0,70; 6,86; 8,08; 2891660947
-0,77; 6,90; 8,18; 2891660965
-0,86; 6,78; 8,88; 2891660990
-1,07; 6,58; 9,68; 2891661006
-1,45; 6,77; 9,62; 2891661023
-0,97; 6,85; 8,07; 2891661044
-0,73; 6,88; 8,54; 2891661062
-1,09; 6,60; 9,44; 2891661082
-1,37; 5,56; 10,21; 2891661106
-1,55; 4,94; 9,66; 2891661121
-1,79; 4,78; 8,56; 2891661139
-1,68; 4,70; 7,99; 2891661160
-1,12; 5,02; 8,36; 2891661178
-0,45; 5,68; 7,79; 2891661199
-0,03; 5,92; 6,59; 2891661223
-0,03; 5,94; 6,25; 2891661239
-0,26; 5,64; 7,05; 2891661256
-0,50; 5,17; 7,75; 2891661276
-0,90; 4,78; 7,74; 2891661295
-1,33; 4,48; 7,54; 2891661314
-1,60; 4,38; 7,90; 2891661333
-1,94; 4,36; 8,41; 2891661353
-2,28; 4,41; 8,34; 2891661373
-2,10; 4,63; 7,83; 2891661393
-1,45; 5,08; 7,61; 2891661413
-0,93; 5,67; 7,48; 2891661430
-0,74; 5,95; 7,28; 2891661450
-0,72; 6,00; 7,49; 2891661473
-0,71; 6,21; 7,71; 2891661488
-0,51; 6,41; 7,69; 2891661508
-0,32; 6,52; 7,60; 2891661528
-0,35; 6,56; 7,73; 2891661548
-0,40; 6,53; 8,08; 2891661567
-0,36; 6,54; 8,04; 2891661586
-0,24; 6,57; 7,81; 2891661607
-0,50; 6,45; 7,47; 2891661624
-0,90; 6,16; 7,27; 2891661645
-0,92; 6,00; 7,28; 2891661664
-0,78; 6,08; 7,43; 2891661682
-0,70; 6,17; 7,83; 2891661703
-1,10; 6,36; 8,27; 2891661723
-1,62; 6,97; 7,22; 2891661742
-1,43; 6,77; 6,21; 2891661761
-1,43; 6,55; 7,40; 2891661781
-0,94; 5,66; 9,67; 2891661800
-0,83; 4,77; 11,54; 2891661817
-0,98; 5,11; 11,04; 2891661838
-0,55; 5,75; 8,83; 2891661858
-0,02; 6,12; 7,87; 2891661877
0,33; 6,43; 7,26; 2891661897
0,41; 6,04; 7,04; 2891661915
0,18; 5,43; 7,86; 2891661940
-0,37; 5,01; 8,48; 2891661958
-0,94; 4,57; 8,61; 2891661974
-1,27; 4,35; 8,23; 2891661995
-1,48; 4,62; 7,57; 2891662013
-1,48; 5,00; 7,21; 2891662033
-1,18; 5,39; 7,59; 2891662057
-0,87; 5,67; 8,05; 2891662074
-0,59; 5,85; 8,37; 2891662090
-0,21; 6,01; 8,27; 2891662108
0,12; 6,20; 7,75; 2891662128
0,21; 6,42; 7,24; 2891662149
0,19; 6,50; 6,89; 2891662168
-0,33; 6,23; 6,94; 2891662188
-0,96; 5,77; 7,04; 2891662207
-1,50; 5,48; 7,08; 2891662226
-1,78; 5,44; 6,93; 2891662246
-1,85; 5,56; 6,79; 2891662266
-1,82; 5,68; 6,89; 2891662284
-1,45; 5,98; 7,38; 2891662303
-0,98; 6,44; 8,00; 2891662323
-0,80; 6,78; 8,49; 2891662342
-0,82; 6,85; 8,58; 2891662362
-0,82; 6,82; 8,45; 2891662382
-1,14; 7,05; 8,40; 2891662400
-1,22; 7,17; 7,38; 2891662423
-1,01; 6,92; 7,47; 2891662440
-1,11; 6,79; 8,24; 2891662457
-1,25; 6,25; 9,05; 2891662478
-1,33; 5,80; 9,04; 2891662497
-1,55; 5,93; 7,93; 2891662518
-1,73; 5,90; 7,26; 2891662535
-1,74; 5,75; 7,93; 2891662554
-1,63; 5,50; 9,32; 2891662575
-1,25; 5,21; 10,29; 2891662594
-0,95; 5,16; 9,55; 2891662615
-1,00; 5,46; 7,25; 2891662633
-1,13; 5,61; 6,08; 2891662653
-0,96; 5,79; 6,51; 2891662675
-0,85; 5,84; 7,69; 2891662691
-0,93; 5,75; 8,19; 2891662711
-1,27; 5,49; 7,70; 2891662730
-1,55; 5,15; 7,38; 2891662749
-1,80; 4,89; 7,89; 2891662769
-1,90; 4,62; 8,67; 2891662791
-1,80; 4,54; 8,79; 2891662808
-1,60; 4,82; 8,10; 2891662826
-1,44; 5,26; 7,18; 2891662847
-1,33; 5,60; 6,62; 2891662867
-1,10; 5,81; 6,52; 2891662886
-0,78; 5,98; 7,04; 2891662909
-0,49; 5,99; 7,74; 2891662926
-0,49; 6,04; 7,96; 2891662944
-0,51; 6,12; 8,22; 2891662963
-0,54; 6,13; 8,60; 2891662983
-0,46; 6,27; 8,60; 2891663002
-0,47; 6,40; 8,25; 2891663022
-0,52; 6,32; 8,13; 2891663042
-0,64; 6,10; 8,16; 2891663061
-0,61; 5,86; 8,62; 2891663080
-0,65; 5,58; 9,00; 2891663100
-1,03; 5,46; 9,06; 2891663119
-1,33; 5,80; 8,33; 2891663142
-0,76; 5,91; 6,46; 2891663159
-1,10; 6,17; 7,17; 2891663176
-1,39; 6,03; 8,12; 2891663195
-0,98; 5,34; 8,85; 2891663217
-0,25; 4,89; 9,14; 2891663235
0,08; 5,01; 9,30; 2891663259
-0,04; 5,07; 9,70; 2891663276
0,14; 4,58; 10,01; 2891663292
0,43; 4,12; 10,09; 2891663313
0,48; 4,05; 9,61; 2891663333
-0,01; 4,11; 8,43; 2891663351
-0,41; 4,22; 7,22; 2891663370
-0,37; 4,42; 6,83; 2891663390
-0,30; 4,32; 7,20; 2891663408
-0,31; 3,92; 7,98; 2891663428
-0,55; 3,67; 8,97; 2891663448
-1,06; 3,50; 9,83; 2891663468
-1,72; 3,40; 10,41; 2891663487
-2,38; 3,33; 10,68; 2891663506
-2,36; 3,43; 10,52; 2891663526
-1,63; 3,92; 10,04; 2891663544
-0,80; 4,72; 9,51; 2891663563
-0,19; 5,52; 9,01; 2891663583
0,11; 5,99; 8,49; 2891663602
-0,32; 5,98; 7,88; 2891663621
-1,01; 5,59; 7,30; 2891663644
-1,61; 5,21; 7,14; 2891663661
-2,02; 5,00; 7,35; 2892016127
-2,13; 4,91; 7,72; 2892016162
-2,23; 4,87; 7,97; 2892016180
