x;y;z;time
-0,99; 5,82; 7,83; 2891656989
-0,67; 5,86; 8,06; 2891657008
-0,67; 5,93; 8,11; 2891657028
-0,83; 5,96; 7,82; 2891657053
-1,05; 6,06; 7,32; 2891657068
-1,19; 6,19; 7,37; 2891657087
-0,96; 6,38; 7,74; 2891657104
-0,70; 6,52; 7,94; 2891657124
-0,74; 6,54; 8,13; 2891657143
-0,93; 6,41; 8,26; 2891657172
-1,10; 6,30; 8,18; 2891657183
-1,06; 6,24; 8,38; 2891657202
-1,03; 6,27; 8,18; 2891657222
-1,05; 6,24; 7,83; 2891657241
-1,17; 6,14; 7,47; 2891657269
-1,19; 6,07; 7,29; 2891657283
-1,25; 6,11; 7,03; 2891657300
-1,24; 6,17; 7,31; 2891657319
-1,19; 6,28; 7,49; 2891657337
-1,19; 6,39; 7,37; 2891657356
-1,10; 6,50; 7,40; 2891657376
-0,95; 6,62; 7,53; 2891657401
-0,86; 6,73; 7,55; 2891657420
-0,88; 6,73; 7,46; 2891657435
-0,91; 6,69; 7,43; 2891657455
-0,93; 6,67; 7,44; 2891657472
-0,91; 6,69; 7,36; 2891657493
-0,92; 6,65; 7,33; 2891657520
-0,92; 6,57; 7,50; 2891657536
-1,01; 6,46; 7,57; 2891657552
-0,93; 6,46; 7,62; 2891657571
-0,92; 6,44; 7,76; 2891657590
-1,09; 6,35; 7,97; 2891657610
-1,36; 6,39; 8,22; 2891657636
-1,36; 6,74; 7,49; 2891657651
-0,84; 6,91; 7,37; 2891657669
-0,62; 6,92; 8,27; 2891657686
-0,73; 6,41; 9,19; 2891657707
-1,17; 5,72; 9,34; 2891657726
-1,69; 5,63; 8,40; 2891657754
-1,60; 5,81; 7,51; 2891657767
-1,22; 6,01; 7,52; 2891657784
-0,89; 6,07; 8,20; 2891657803
-0,61; 5,93; 9,20; 2891657821
-0,38; 5,62; 9,61; 2891657842
-0,26; 5,41; 9,39; 2891657871
-0,28; 5,44; 8,41; 2891657887
-0,42; 5,34; 7,32; 2891657901
-0,70; 5,24; 6,83; 2891657921
-0,94; 5,22; 6,76; 2891657938
-1,33; 5,13; 6,90; 2891657959
-1,52; 4,97; 6,82; 2891657985
-1,69; 4,68; 6,68; 2891658001
-1,53; 4,47; 6,96; 2891658017
-1,23; 4,52; 7,99; 2891658036
-1,18; 4,58; 8,96; 2891658056
-1,28; 4,55; 9,29; 2891658075
-1,57; 4,72; 8,92; 2891658094
-1,50; 5,13; 8,24; 2891658115
-1,14; 5,62; 7,70; 2891658136
-0,71; 6,14; 7,57; 2891658153
-0,22; 6,57; 7,48; 2891658172
0,17; 6,87; 7,42; 2891658193
0,25; 6,97; 7,67; 2891658219
0,10; 6,82; 7,93; 2891658234
-0,33; 6,56; 8,01; 2891658252
-0,72; 6,32; 7,93; 2891658268
-1,10; 6,11; 7,87; 2891658287
-1,37; 6,01; 7,68; 2891658307
-1,51; 6,05; 7,52; 2891658327
-1,50; 6,18; 7,28; 2891658353
-1,50; 6,24; 7,13; 2891658368
-1,38; 6,28; 7,31; 2891658384
-1,26; 6,39; 7,52; 2891658405
-1,27; 6,49; 7,56; 2891658425
-1,30; 6,55; 7,70; 2891658444
-1,40; 6,64; 7,91; 2891658463
-1,50; 7,11; 8,15; 2891658486
-1,20; 7,37; 7,01; 2891658502
-1,03; 7,00; 7,12; 2891658522
-1,05; 6,51; 7,92; 2891658542
-0,53; 5,78; 9,25; 2891658561
